"titles","texts","time.stamp","month","date"
"[問卦] 有沒有成人片為何要打馬賽克的八卦? ","
歐美的成人片都沒在打馬賽克的阿，

會看成人片大家都知道是怎麼一回事啊，

為何日本的片要在那邊假掰打馬賽克?

假道學嗎?

有八卦嗎?

--
 ","Sat Jul 20 00:01:21 2019 ","Jul","00:01:21"
"[新聞] 高雄草長被批 韓國瑜反怪媒體放大檢驗 ","
自由

高雄草長被批 韓國瑜反怪媒體放大檢驗

〔記者葛祐豪／高雄報導〕高雄市公園、人行道前陣子雜草叢生，今天又被爆出小港區路
樹未修剪、擋住紅綠燈。對此，市長韓國瑜反而怪某些媒體「放大檢驗已經到了誇張程度
」，一棵樹掉了幾片樹葉，好像高雄市政就要癱瘓掉。

不少網友前陣子陸續PO照，質疑高雄市區公園、人行道雜草叢生、有些甚至比椅子還高。
高雄市政府則澄清說，主要是高溫加上數場大雨，雨後雜草生長過快，已全力調派人員與
機具修剪。

今天又有網友貼出路樹枝葉茂密、擋住紅綠燈的照片，並酸說「住高雄這麼久，第一次紅
綠燈用找的」。

對此，媒體今天詢問韓國瑜「市府相關單位有沒有失職之處？」

韓國瑜強調，養工處一定會去處理，但某些媒體報導高雄，「感覺放大檢驗已經到了誇張
程度，一棵樹掉了幾片樹葉，好像高雄市政就要癱瘓掉了，我覺得太誇張了！」

韓國瑜說，事實上以清淤來講，今年要清40公里，「我們做得這麼認真，做了這麼多事情
，好的都不報，卻報導最差的，我覺得這些媒體實在是無接受！」



--
 ","Sat Jul 20 00:01:42 2019 ","Jul","00:01:42"
"[新聞] 高雄淹水兩樣情 韓國瑜吹冷氣<U+99E1>區長、陳其邁冒雨勘災 ","
高雄淹水兩樣情 韓國瑜吹冷氣<U+99E1>區長、陳其邁冒雨勘災


自由時報 〔記者黃佳琳／高雄報導〕

高雄今天下午降下豪雨造成多處淹水災情，市長韓國瑜沒有出門勘災，而是在防災應變中
心吹冷氣<U+99E1>區長反應太慢，行政院副院長陳其邁則是從台北趕回高雄永安，關心當地抽水
站運作情形。

陳其邁在臉書發文指出，高雄今天午後下起豪大雨，許多行政區傳出淹水災情，行政院長
蘇貞昌和他相當憂心高雄的淹水，總統也隔海打電話關心高雄災情。水利署長向他報告各
地淹水情形，其中以高雄最為嚴重，多達267處積淹水。

晚間，陳其邁趕回高雄永安了解新港抽水站的作業情形，他說，永安是石斑魚故鄉，過去
飽受淹水之苦。新港抽水站位於北溝排水分洪箱涵出口北側，已在今年4月啟用，抽水容
量為7.5cms，達65萬噸，負責北永安的疏洪；另為了有效解決永安的淹水，行政院已經核
定補助的北溝排水整治工程，未來可加速中下游段排洪效率。

陳其邁除向在第一線作業辛苦的水利署同仁表達勉勵，也要求旗山地區的抽水站務必注意
晚上山區的豪大雨，不要掉以輕心。

--
 ?

--
                ˙·.◢.·
     　 
   .．◣



--
 ","Sat Jul 20 00:01:45 2019 ","Jul","00:01:45"
"[問卦] 買豪宅給孩子住孩子真的會努力用功讀書嗎 ","

之前看到某個建商廣告台詞
爸爸媽媽買了一個地段好的豪宅住

孩子就很開心的說
爸爸媽媽謝謝你們 我會努力用功讀書


買豪宅給孩子住
孩子真的就會努力用功讀書嗎？


--
蔡英文住豪宅 書也讀得不錯
 ","Sat Jul 20 00:01:53 2019 ","Jul","00:01:53"
"[問卦] 忘了有多久  ","
忘了有多久



才沒聽到ㄋ




對我說ㄋ最愛ㄉ故事





我想了很久



我開始荒了




是不是我又做錯ㄌ什麼




請問有都是騙人ㄉ八卦山ㄇ

--
 ","Sat Jul 20 00:02:02 2019 ","Jul","00:02:02"
"[問卦] youtube的隨機播放是不是壞了? ","
最近youtube放一首歌A聽

下一首可能是相關的B

再下一首又變A

然後一直ABABABA循環

有人也這樣?

--
 ","Sat Jul 20 00:02:19 2019 ","Jul","00:02:19"
"Re: [新聞] 彈劾案眾院落敗 川普：美國不要社會主義 ","

你要談社會主義  ? 那你要不要談談 Sanders今天的笑話?

山德斯的競選總部的員工  跳出來抗議 Sanders給他們的薪水不到每小時15美金

是的 支持社會主義的山德斯 同時也是支持最低工資15美金的民主黨總統競選人

自己的競選員工跳出來抗議說  要發動罷工

社會主義到哪都是帶來毀滅

現在順手毀滅了山德斯  ??

民主黨就是個笑話

--

Free Health Insurance
Free College Tuition
Free Reparation
Free Illegal Immigrant benefit
Free basic income
Green New Fake Deal

錢從哪裡來? 美瑞內拉?



 ","Sat Jul 20 00:02:56 2019 ","Jul","00:02:56"
"Re: [問卦] 為什麼陶比版蜘蛛人那麼多人愛? ","
陶比蜘蛛人的支持者有些是loser（失敗者），如今捧陶比現象，

有一定的形成背景，並非陶比版蜘蛛人的問題。


就能夠蒐集到的資料做估計，那陶比版蜘蛛人是完全不可測，

湯姆荷蘭還可以想像大概是怎麼樣子，陶比版我實在想不出來

其實慢慢要解讀捧陶比 是陶比的問題，是那個background，那個背景為什麼會形成，

不然你點一根火柴丟過去，如果沒有汽油在那裏，那一根火柴就是就熄了，

就沒有了。


湯姆荷蘭不是尼可拉斯凱吉、陶比不是強尼戴普，除非有原子彈、想出不一樣的拍法，

才有贏的機會，但是他還沒想出來；漫威的電影技術很強，陶比版不耐打，

相爭的結果陶比版蜘蛛人會很慘烈。

陶比版蜘蛛人把窮苦大眾的帽子戴上去，所以金身金剛不壞

陶比版只是證明好萊塢電影是極端影壇的Demo

--
                                        ◢◢            
         ▲  
        ▲      
           ▲     
       ▼ ◢ 　 
                          ◥◤◢◤  ╯

--
 ","Sat Jul 20 00:03:13 2019 ","Jul","00:03:13"
"[問卦] 現在的八卦版是不是假肥宅很多? ","

話說以前隨便發個廢文，都有人噓，
但剛剛看一下現在這個時間段，好像都沒有甚麼人
在推噓文。

所以，是不是因為星期五到了，假肥宅都出去high了，
因此八卦版變得冷清了?

樓下開放真肥宅、母胎單身、邊緣人簽到

以上，卦?

--


      阿廢  參上

--
去哪兒嗨了?這麼早回來一定是沒有約妹
那你有看到真理褲可愛女孩嗎?
嫁給我好嗎?
 ","Sat Jul 20 00:03:57 2019 ","Jul","00:03:57"
"[新聞] Netflix首度登陸漫博星光陣容公佈 江口 ","
1.媒體來源:
ATC Taiwan

2.記者署名
ATC Taiwan 編輯部

3.完整新聞標題:
Netflix首度登陸漫博星光陣容公佈 江口拓也、小山力也、上<U+5742>菫、木村良平將抵台出席
盛會

4.完整新聞內文:
台北，2019 年 7 月 18 日 - Netflix宣布首次登陸台北漫畫博覽會，確認江口拓也、上
<U+5742>堇（上<U+5742><U+3059><U+307F><U+308C>）、小山力也、木村良平、三麗鷗「衝吧！烈子」、San-X「拉拉熊」
等日本人氣聲優與肖像明星將親自抵達台灣，於第20屆漫博期間（8月1日到8月5日）參與
「Netflix動漫新勢力」盛會，全面引爆動漫迷火熱的期待。

開幕首日（8月1日）將開放「Netflix經典舞台」，重磅邀請經典動畫3DCG重製版《超人
力霸王》中為七號超人諸星彈配音的人氣聲優 江口拓也 ，即將親臨Netflix舞台與粉絲
相見歡，兼具實力與帥氣的江口老師，勢必將再次掀起日系超人旋風。第二日（8月2日）
的療癒舞台將邀請全台動漫迷一起「Netflix & Chill」！超人氣定格影集《拉拉熊與小
薰》 中的療癒系教主 拉拉熊不僅慵懶現身，還會聯手台灣療癒系代表重現節目中令
人身心愉快的草裙舞，讓這個週五「蘇湖愉快」百分百。

第三日（8月3日）熱血舞台狂暴開張，邀請到台港日圈粉無數的可愛萌主聲優歌手上<U+5742>
菫 ，帶來原創音樂科幻動畫新作《凱洛與塔斯黛》，將以充滿感染力的音樂能量，撫慰
從全球各地前來支持的上<U+5742>政委粉絲！同日也將由重量級聲優 小山力也 老師抵台宣傳，
帶來他參演的熱血格鬥新作《刃牙》，並與台灣熱情粉絲互動，期待幽默活潑的小山老師
再次為漫博帶來爆笑雷動的活動現場！第四日（8月4日）「Netflix動漫魂大爆發」舞台
開張，實力派聲優 木村良平 接棒宣傳《超人力霸王》，木村良平在劇中飾演早田進次郎
，是初代超人力霸王早田進的兒子，被譽為國民英雄聲優的他，也將和粉絲分享演繹早田
進次郎的幕後故事，活動精彩可期！之後更是本次活動最高潮，木村良平與小山力也、上
<U+5742>菫三位人氣聲優首度同台為粉絲們帶來精采對談。同天《衝吧！烈子》中深受上班族喜
愛的厭世系OL 烈子 將首度來台，Netflix特別舉辦「烈子OL宣洩卡拉ok大賽」與粉絲同
樂，將緊緊抓住烈子迷的心。

呼應全台最大漫畫博覽會20週年的盛大氣勢，「Netflix動漫新勢力」帶來經典、科幻、
熱血、療癒等四大主題的經典與原創動漫，包括有聲優明星現身的《超人力霸王》、《拉
拉熊與小薰》、《凱洛與塔斯黛》、《刃牙》、《衝吧！烈子》等，以及《新世紀福音戰
士》、《聖鬥士星矢：黃道十二宮戰士》、《攻殼機動隊 SAC_2045》、《齊木楠雄的災
難》、《狂賭之淵》、《拳願阿修羅》等相關的眾多精彩場內活動，邀請全台動漫迷不僅
立即在家一鍵追番，更相約漫博現場一起同歡。

5.完整新聞連結 (或短網址):


6.備註:

--
 ","Sat Jul 20 00:04:09 2019 ","Jul","00:04:09"
