"titles","texts","time.stamp","month","date"
"Re: [爆卦] 解放軍開進香港啦 ","
香港政府現在就是玩

香港媽媽反送中集會之後，政府馬上宣布「暫緩」條例，接著各式各樣的，什麼「
一人退一步」「政府已經退讓，留面子給政府」馬上鋪天蓋地而來

接著開始瘋傳軍車照片，

要注意，而政府不澄清的目的只有一個：
，因為站在前線以肉身和港警搏鬥的都是學生


，流言包括但不限於：



現在一面拖一面恩威並施，手法其實也跟佔中那時一樣，讓抗議群眾裡內部產生矛盾，該
回家還是該留守、該和平示威還是行動升級、還要不要罷工罷課罷市，


現在完全是類戰爭，對前線的人用催淚彈警棍胡椒噴霧，對不在場的人（包括台灣人）用











--

如果我收錢我死全家
如果我沒收錢你死全家
要不要對賭？

你要不要對賭？
我只能說這些2014都傳過了也有照片
大家自行判斷
 ","Sun Jun 16 00:00:19 2019 ","Jun","00:00:19"
"[問卦] 兩天不倒垃圾會怎麼樣 ","
今天沒趕上垃圾車

禮拜天又沒有垃圾車

第一次錯過啦><

兩天不倒垃圾會怎麼樣

--
 ","Sun Jun 16 00:01:31 2019 ","Jun","00:01:31"
"[問卦] 馬來西亞人對台灣統獨也有意見？ ","
安安，看了板上這麼多對香港人的評論，原來他們在以前也是不支持台灣獨立的，甚至還
會跟著五毛罵台獨狗，甚至到現在還有一堆香港人不支持台灣獨立

可是啊你說香港就算了，連那個沒什麼關係的馬來西亞人也對台灣有許多意見？

不過看他們總理態度就知道，是很親中的

為何馬來西亞人對台灣主權問題也說三道四呢？

--
 ","Sun Jun 16 00:02:45 2019 ","Jun","00:02:45"
"[新聞] 手機重度成癮？當心成鬥雞眼無法復原 ","
1.媒體來源:
TVBS


2.記者署名
李宜蓉


3.完整新聞標題:
手機重度成癮？當心成鬥雞眼無法復原


4.完整新聞內文:

圖／達志影像

您是低頭族嗎？智慧型手機幾乎已經是生活的一部份，但如果過度使用，可能會造成「急
性內斜視」，也就是所謂的「鬥雞眼」。日本斜視學會調查發現，近年因為急性內斜視求
診的年輕族群有增長趨勢；同時醫師也警告，一旦發生急性內斜視，不太可能靠眼睛自我
修復，最終還是需要手術才能復原。

不管站著、坐著、躺著，只要能滑就不會放過，你也是重度手機成癮者嗎？

日本民眾：「我幾乎一直都在滑，除了洗澡、還有上廁所之外，幾乎都是盯著手機。」
日本民眾：「只要一閒下來就會馬上滑手機，已經是一種習慣了嘛。」

人閒下來了，但手卻閒不下來，你算過一天花多少時間滑手機嗎？

NHK記者 vs. 日本民眾：「妳一天就滑了6小時29分的手機，我覺得這是少的了。」
NHK記者 vs. 日本民眾：「星期二妳滑手機好久，這是因為什麼？這是怎樣啊？13小時52
分鐘，很誇張吧，我沒想過竟然滑了這麼久。」

有事沒事低個頭，手機拿出來滑一滑，這個動作已經是現代大多數人的反射習慣，但成為
低頭族卻可能替自己帶來嚴重後果。

急性內斜視患者：「看東西變成雙重影像時，是會暈眩的，頭覺得很暈的感覺。」

這名高二男學生，就自食了手機成癮的苦果。

急性內斜視患者：「起初我還很天真想說這很容易治。」

他從國一開始沉迷手機，一天至少要滑10個小時，一年後，發現看東西會出現兩個影像，
經過診斷，確定是急性內斜視；雖然當下就改變使用習慣，但卻無法自體恢復，最後靠手
術才矯正回來。

NHK記者 vs. 眼科醫師
眼科醫師 ：「所謂的急性內斜視是什麼呢？就是眼睛往內側靠近而無法向外移動，所以
看遠的時候就會有雙重影像。」

急性內斜視其實就是俗稱的「鬥雞眼」。我們的眼球轉動，是靠著周邊肌肉動作完成，在
緊盯手機時，內側的「內直肌」會縮緊，讓眼球往中間聚集；長時間滑手機之下，就會使
得內直肌僵硬，最後眼球也轉不回去，成了急性內斜視。

眼科醫師 vs. NHK記者：「譬如走在馬路上，會看到兩條馬路，你就會疑惑哪邊才是對的
。這麼嚴重啊，不是疊在一起那種？不是的，是真的變成兩個影像。」

手機型斜視其實在日本越來越常見，甚至好發在10-20多歲的年輕族群身上；日本弱斜視
學會調查顯示，光是去年，就有42%的眼科醫生，曾經替年輕人診斷出手機型斜視。醫師
特別強調，現代父母容易用3C教小孩，也讓小朋友成為高危險群。

眼科醫師：「視力的發展在一般來講，是一直到9歲為止，在9歲以前有斜視的話，很可能
會演變成弱視；不管是戴眼鏡或隱形眼鏡，都救不回視力的弱視，一旦成了弱視就是影響
終身。」

智慧型手機功能不斷提升，應用愈來越廣，也讓人們更難與它斷捨離。

新聞記者：「以平成為主題的這個玩具，可以拍出大頭貼機台的畫質。」

13號開幕的東京玩具展，推出各種懷舊風格。這款大頭貼玩具，安裝手機後，就能照出充
滿青春回憶的大頭貼自拍照。

新聞主播：「啟動專屬App後，與手機互相安裝，就能將照片後製為年輕版或未來版。」

會場上甚至還有這種50、60年代的迷你電視，播放的是手機裡的YouTube影片，透過旋鈕
切換年代畫質，如果遇到雪花雜訊，就像以前那樣拍一下電視機就能搞定。

新聞記者：「只要有智慧手機跟控制器，完全不用電玩主機，這樣的狀態走到哪都能玩到
哪。」

不只日本，今年加州的E3電玩展，焦點就圍繞在雲端串流遊戲；打破遊戲主機硬體限制，
只要有手機或平板，到處都打電動。Google與微軟已經互相開打，準備端出滿滿的雲端遊
戲，但在跳坑大玩特玩的時候，切記要做好管控，保護自己的靈魂之窗。


5.完整新聞連結 (或短網址):



6.備註:


--
 ","Sun Jun 16 00:03:02 2019 ","Jun","00:03:02"
"[臉書] 吳祥輝 ","
臉書卦點說明：（）

吳祥輝問大家

誰會成為政治淫婦蔡英文的

政治姦夫呢?

臉書連結：



ＦＢ內容：

吳祥輝 Brian Wu

誰會成為政治淫婦蔡英文的
政治姦夫呢？

猜猜看。

--
 ","Sun Jun 16 00:03:20 2019 ","Jun","00:03:20"
"[問卦] 有沒有圖勒的八卦 ","
問個

圖勒到底是什麼啊

每次只要有人發文

下面就會一堆圖勒圖勒

是一種咒語ㄇ

還是唸完後就會發生什麼事ㄇ

有沒有卦啊

--


 ","Sun Jun 16 00:03:31 2019 ","Jun","00:03:31"
"Re: [問卦] 睡覺不躺枕頭很奇怪嗎 ","

不會

我女友167 40 G cup

她每次都說奶子太大

睡覺會甩來甩去

很不舒服

所以要我躺在上面固定

媽的

很煩

每天都要做洗面乳

媽的

自己的胸部在那邊…

哀

現在女友又叫我去躺了

心累


--
 ","Sun Jun 16 00:03:32 2019 ","Jun","00:03:32"
"Re: [爆卦] 反送中暴民拿磚塊砸警察，可惡至極！ ","

你是中共養的，幫中共講話哦，講來講去就是要香港把人送去給中共。

中國沒有學會法治是什麼，跟人權條件沒有受到國際認可以前，就是反對啦。


廢不廢死刑跟送中差那麼多也想來亂帶風向。



--
 ","Sun Jun 16 00:03:54 2019 ","Jun","00:03:54"
"Re: [爆卦] 陳佩琪臉書被出征中 ","




















柯粉邏輯

抓到同ip時：
1450真廢，我隨便抓就一串嘻嘻

叫他把證據拿出來一槍斃命時：
1450都黨機器罩的啦，證據哪有那麼好找


--
         
         
         
         
         
         

--
 ","Sun Jun 16 00:04:07 2019 ","Jun","00:04:07"
"[問卦] 長榮大學 ","
如題我包恩


長榮大學在歸仁

然後台鐵還有一站就叫做長榮大學  是沙崙站(高鐵台南站)的前一站


包恩之前去參觀過一次

圖書館蠻漂亮的 也很安靜


但就是學校太偏僻了一點


有沒有長榮大學的八卦









--

ㄜ...最強中颱不就跟強力颱風差不多？

--
 ","Sun Jun 16 00:04:39 2019 ","Jun","00:04:39"
"Re: [爆卦] 反送中暴民拿磚塊砸警察，可惡至極！ ","
台灣也曾走過街頭抗爭的歲月

什麼陣仗沒見過

汽油彈都有過

可以看看1988年的520農民運動


這都是先鎮後爆先有暴警才有暴民

被打慘了不還手難道等死

就因為沒有準備才連磚頭也用上


所以流血衝突只能事態升級惡化







--
 ","Sun Jun 16 00:04:56 2019 ","Jun","00:04:56"
"[問卦] Who are you to wave your finger? ","
誰在揮舞你的胖手指R?
So full of it
眼球都溢滿在泥漿裡了
ㄍㄋㄇㄉ偽君子

把腳塞進嘴裡把頭塞進卡稱領著走拉!
你到底在公殺洨啦?
Difficult to dance 'round this one
'til you pull it out, boy.
You must have been so high!

Liar, lawyer, mirror,告訴我有什麼差別R?
袋鼠掉死了無罪的陪審團
Now you're weeping shades of cozened indigo.
(Musta) got lemon juice up in your eye, eye.
When you pissed all over my black kettle.
You must've been...

所以那個在揮動手指的是誰辣
對我揮舞那胖手指的人是誰辣
You must have been out your mind.


--
 ","Sun Jun 16 00:05:12 2019 ","Jun","00:05:12"
